"x","y","z"
688,4184,25
289,4754,22
858,1938,18
1437,1637,22
845,1200,20
511,3457,12
268,1914,21
1074,2186,13
509,2378,32
331,3568,12
923,2870,25
1333,1378,32
1044,403,10
840,1496,32
1058,2568,27
828,5105,22
1379,4133,16
552,4666,23
734,3463,15
1163,2066,13
1070,4403,7
803,3674,22
802,1785,12
100,2580,6
360,4909,26
762,1615,7
954,4169,8
272,988,24
760,1858,6
990,2606,30
1405,1171,13
354,3811,16
1257,4800,32
1294,3172,30
892,4229,15
295,2323,10
809,4618,27
496,2716,6
1404,1623,8
531,2769,23
823,2178,15
1038,4967,19
380,4888,18
994,545,21
660,1378,21
363,2061,6
367,1288,11
1085,3687,14
1211,2377,14
1332,2580,20
1040,2511,10
317,1626,30
1131,3232,32
1369,4502,16
1206,3773,29
731,2383,19
439,5297,8
848,2722,15
1341,3713,31
632,3888,17
1105,1428,8
1446,2713,15
1276,2531,16
762,2461,20
528,4741,20
586,2445,6
1283,4862,22
1257,3408,19
400,5033,10
1048,916,7
351,5111,21
345,4764,24
1278,3409,11
804,3064,9
1233,3759,35
1190,1972,23
1404,3833,17
1191,1432,34
132,3638,16
874,2561,6
280,1283,11
1420,3572,25
522,2743,30
260,5212,24
996,3226,26
724,2429,20
353,1015,23
1428,3723,16
811,992,19
1348,4576,20
1016,2783,18
1186,2383,24
107,935,8
1256,2437,15
454,1534,24
953,4740,21
887,1688,21
654,4039,9
220,1434,31
101,5266,9
279,2617,10
1182,4515,33
751,2176,7
159,4298,29
860,2431,6
1143,2510,6
781,1007,23
1066,1073,19
300,4117,11
71,5064,10
860,4898,30
271,2080,32
1252,3865,20
1104,3512,29
637,2424,33
107,1748,26
955,4025,23
164,958,16
862,698,12
877,1576,19
1458,1781,12
1388,2279,25
447,1160,7
796,4118,10
657,1561,11
814,1673,29
297,4421,18
1285,2500,31
66,4436,35
687,2980,6
59,3998,25
446,3278,23
143,3683,13
1281,993,26
814,4292,22
68,1310,25
445,3199,29
232,3134,10
95,1213,27
216,2262,27
342,5220,5
671,2699,25
1333,2459,16
535,3913,16
448,2603,23
140,2021,26
56,4815,6
1131,2415,33
1121,2199,7
1347,4684,18
223,4178,15
707,4079,20
1031,745,16
352,2394,29
61,2743,22
809,3304,8
865,1849,21
1168,1716,30
786,3078,29
415,3703,19
1316,3858,14
677,968,10
1291,917,25
1416,428,22
802,1376,22
1095,1221,29
646,2610,19
334,2043,18
964,4779,31
926,3063,33
639,4030,10
1079,1483,31
895,1063,28
608,1514,9
1097,4616,19
199,1725,9
467,3726,6
375,3330,22
1381,1294,7
1126,4542,24
397,788,16
692,4680,28
594,2733,14
756,2248,24
609,3382,25
364,3700,12
1306,2017,28
1116,1996,14
546,398,18
1285,2182,32
794,2011,15
496,4604,25
975,3405,32
340,3063,7
537,2523,35
1002,4935,9
126,5206,30
604,1877,18
1324,911,16
943,1392,31
844,730,8
1051,5032,16
817,4380,28
754,2671,25
1294,5053,13
1250,3768,14
1190,1547,24
1232,3019,7
584,1807,34
616,1116,6
650,3768,19
1400,4590,20
162,4888,19
349,2190,6
904,1657,29
576,1192,27
892,3972,34
1088,4031,31
1435,2656,25
810,4213,26
463,4838,9
1302,2388,28
720,2445,12
195,3072,21
1076,4905,16
812,4584,16
1267,3876,12
1142,4708,9
168,1242,23
864,4749,14
586,4273,8
782,5092,23
883,1911,28
1272,3133,17
747,1673,28
1413,4920,15
920,1161,18
741,3452,17
1422,1804,10
1348,4336,11
743,500,6
764,2264,13
216,1584,27
600,4580,12
382,1399,12
1345,884,19
227,3297,14
93,4386,15
1125,2030,8
1029,1356,20
119,1501,25
1275,4810,27
1034,4072,31
58,4416,33
183,1016,17
1160,822,23
452,3831,20
1406,1869,6
270,4534,6
478,3166,31
268,1257,30
1311,166,5
572,3875,9
1226,3399,32
739,768,12
974,3794,27
393,1184,28
836,1955,15
1019,1182,28
1413,3709,17
1174,2163,27
984,1697,20
368,1184,7
1090,3296,19
390,3435,31
157,1534,15
811,3459,34
770,5016,29
1386,1743,24
697,3394,17
1090,1868,18
1412,4550,16
130,2324,32
288,1607,14
746,532,11
890,376,14
396,3159,9
771,2524,7
1104,5084,10
880,3890,32
64,4756,6
794,4276,7
1150,4888,6
715,5084,30
771,3799,21
521,2376,19
547,3861,18
143,2635,30
771,975,22
1146,4386,26
448,541,18
307,3518,25
123,4728,6
1271,3758,18
278,5082,10
216,1242,34
1001,4353,19
327,1951,29
1039,2731,28
574,3429,34
863,4656,13
211,2981,31
1355,2152,23
1068,994,9
936,5053,23
1348,4332,7
484,1197,11
326,3809,17
858,376,11
95,4360,6
549,560,21
1194,2002,34
198,3794,23
840,512,11
1068,2793,20
202,3596,9
962,2887,24
1202,1230,18
922,2928,10
644,2588,24
1214,3899,9
942,4030,15
659,1438,25
420,3773,28
973,4764,7
404,1527,12
1241,4754,9
501,4902,17
359,765,14
916,4102,7
396,1679,28
321,4356,23
841,3986,14
794,4889,9
106,2247,28
374,4580,11
815,5018,8
863,2390,15
126,4381,24
634,2350,8
1373,2727,25
1357,4152,15
365,4882,6
150,5234,14
543,4471,28
699,1815,32
1314,2800,31
715,3228,17
768,4902,24
708,2343,7
311,3183,8
320,3364,9
538,1878,9
542,1173,28
1108,1352,27
1371,4689,32
532,3833,31
246,4191,20
1316,1592,24
1163,2315,33
689,1868,19
1085,3318,13
305,2906,8
126,5502,30
888,1946,19
248,2525,14
1430,2022,6
290,4071,30
131,2246,32
734,3570,8
180,2339,29
869,1255,6
1393,4475,11
976,3266,14
696,4600,26
582,1064,7
888,4702,33
450,3855,32
272,2016,23
337,1386,34
1354,2862,23
594,993,17
1296,3150,18
217,1285,17
641,3778,7
1132,1509,33
975,3960,20
1337,2381,14
738,2049,32
924,405,7
1068,4529,20
777,4824,9
192,1545,30
1224,4970,17
827,505,7
340,3034,24
318,1820,11
759,3660,25
265,2234,27
867,2203,6
1338,2157,13
919,2021,32
985,2538,24
1434,2166,25
1436,4610,6
332,4493,18
908,3301,34
138,605,17
743,1001,6
880,1719,6
918,4710,13
1264,4569,27
274,5064,20
420,1570,25
390,4182,8
1134,2754,32
1369,4248,22
1198,2085,12
115,4046,13
154,2489,19
145,2391,7
1001,2010,8
782,4236,32
254,3596,14
1096,4024,24
1388,2840,18
1140,1190,25
546,1442,15
407,3111,29
1071,4535,16
1163,1498,13
895,1654,18
973,2429,23
595,1969,30
871,3306,11
333,4410,6
436,4099,14
993,3269,32
1114,587,9
662,3803,28
506,1999,18
854,2034,10
1397,2266,6
1216,2009,8
1256,2211,18
919,4337,24
583,1328,11
219,3162,33
826,2640,12
1074,3076,28
490,4039,9
244,5243,32
870,1582,14
1140,4101,19
370,2580,6
514,3908,25
1094,897,27
1072,4678,34
338,3807,33
1420,1936,15
437,608,7
295,1013,9
1070,1910,10
1397,4217,27
830,2004,15
512,3821,9
405,5374,27
1229,1468,12
1151,1506,19
480,1946,19
1066,2700,14
567,4298,26
1426,1699,6
951,1128,6
927,4328,23
897,2197,23
241,2090,6
383,2207,14
795,3845,29
1428,612,11
777,2959,14
1216,2554,9
1003,2246,20
258,4591,20
930,4155,30
676,1886,12
741,2948,8
405,1618,34
49,4762,26
327,728,11
1282,1109,10
184,3859,25
710,4910,20
231,2292,21
1464,1089,14
965,1043,8
81,3770,23
688,1260,29
340,3086,16
289,1564,12
366,4490,32
147,1754,24
1267,4184,27
218,834,12
487,2212,20
585,1909,20
231,3123,7
613,860,18
1068,3566,30
285,1707,31
203,3241,8
907,3862,8
1107,4980,28
957,612,14
1432,1297,27
463,939,9
642,3102,32
460,2598,34
795,3005,7
833,2419,13
1230,4040,21
938,4206,32
309,4767,30
624,2984,17
280,2701,17
1148,4570,6
499,2674,29
242,2058,12
877,3256,28
126,3410,17
560,2809,30
1203,906,30
389,1483,11
1362,581,18
193,4966,11
897,3309,7
1268,3916,6
490,2242,9
1076,5093,14
343,728,32
80,2310,27
1080,3484,6
849,2006,21
660,3805,7
219,5025,22
1168,2188,15
160,4934,7
1044,4640,10
1105,2692,33
472,5108,19
786,2022,32
1289,3917,13
572,2257,6
1229,2272,34
152,3544,9
664,3891,7
1302,2478,22
241,3295,6
744,4723,11
534,2514,25
569,4753,22
1274,4359,13
718,592,13
427,5277,17
1222,1804,14
1392,4843,25
190,1031,20
307,3333,30
1168,5118,8
1394,1644,14
297,2476,11
1283,3746,29
1387,2840,18
894,1206,15
296,4860,11
1070,1946,10
855,2861,28
60,4511,25
286,2948,20
316,5053,26
1141,3206,13
157,3290,24
75,5084,31
1267,4935,9
748,2798,26
162,1156,13
780,3044,19
310,3839,12
1067,3416,28
505,2788,27
229,4339,10
1110,737,17
998,3951,14
98,5009,26
517,3325,25
247,4369,20
385,4853,16
1330,104,21
145,2611,6
1262,4753,28
1217,3095,21
1394,3158,25
636,2374,24
643,3448,20
341,3166,13
237,1255,7
1177,695,17
537,845,16
1408,1786,18
966,5075,14
99,1897,34
1138,2716,28
